"","species","lat","lon","Pb"
"1","Pyrus bourgaeana",38.386954,-4.74574,1
"2","Pyrus bourgaeana",38.403234,-4.596691,1
"3","Pyrus bourgaeana",40.716386,-3.741596,1
"4","Pyrus bourgaeana",40.665053,-3.758225,1
"5","Pyrus bourgaeana",38.359392,-4.680645,1
"6","Pyrus bourgaeana",38.431762,-4.842367,1
"7","Pyrus bourgaeana",38.245865,-4.878208,1
"8","Pyrus bourgaeana",40.717812,-3.74213,1
"9","Pyrus bourgaeana",40.717387,-3.741662,1
"10","Pyrus bourgaeana",40.717712,-3.741932,1
"11","Pyrus bourgaeana",40.717368,-3.741852,1
"12","Pyrus bourgaeana",36.227955,-5.597008,1
"13","Pyrus bourgaeana",38.189161,-4.522366,1
"14","Pyrus bourgaeana",38.313675,-4.765337,1
"15","Pyrus bourgaeana",38.352624,-4.48231,1
"16","Pyrus bourgaeana",38.623906,-4.921531,1
"17","Pyrus bourgaeana",38.258376,-4.977814,1
"18","Pyrus bourgaeana",38.440855,-4.490706,1
"19","Pyrus bourgaeana",38.315261,-4.76959,1
"20","Pyrus bourgaeana",38.337438,-4.818187,1
"21","Pyrus bourgaeana",38.274502,-4.589177,1
"22","Pyrus bourgaeana",38.413355,-5.224728,1
"23","Pyrus bourgaeana",38.331133,-4.863564,1
"24","Pyrus bourgaeana",38.321646,-4.781779,1
"25","Pyrus bourgaeana",38.627672,-4.910031,1
"26","Pyrus bourgaeana",38.35191,-4.511603,1
"27","Pyrus bourgaeana",38.377036,-4.545726,1
"28","Pyrus bourgaeana",38.350528,-4.695203,1
"29","Pyrus bourgaeana",38.206243,-4.8301,1
"30","Pyrus bourgaeana",40.719582,-3.744037,1
"31","Pyrus bourgaeana",40.538688,-3.914023,1
"32","Pyrus bourgaeana",40.621098,-3.681352,1
"33","Pyrus bourgaeana",40.620973,-3.68156,1
"34","Pyrus bourgaeana",38.271054,-4.706168,1
"35","Pyrus bourgaeana",38.143545,-4.655632,1
"36","Pyrus bourgaeana",38.141294,-4.633107,1
"37","Pyrus bourgaeana",38.522097,-4.746229,1
"38","Pyrus bourgaeana",38.47098,-4.694821,1
"39","Pyrus bourgaeana",38.404603,-5.157045,1
"40","Pyrus bourgaeana",38.458408,-4.627666,1
"41","Pyrus bourgaeana",38.471218,-5.000646,1
"42","Pyrus bourgaeana",38.402438,-5.129348,1
"43","Pyrus bourgaeana",38.496197,-4.943635,1
"44","Pyrus bourgaeana",38.529946,-4.893852,1
"45","Pyrus bourgaeana",38.51162,-4.819838,1
"46","Pyrus bourgaeana",38.335712,-4.768169,1
"47","Pyrus bourgaeana",40.42148,-3.85585,1
"48","Pyrus bourgaeana",40.602538,-3.704489,1
"49","Pyrus bourgaeana",40.60235,-3.704371,1
"50","Pyrus bourgaeana",40.716323,-3.747387,1
"51","Pyrus bourgaeana",38.462762,-4.516101,1
"52","Pyrus bourgaeana",40.716345,-3.747347,1
"53","Pyrus bourgaeana",40.42149,-3.855805,1
"54","Pyrus bourgaeana",40.716448,-3.747015,1
"55","Pyrus bourgaeana",38.342288,-4.580651,1
"56","Pyrus bourgaeana",38.232834,-4.572779,1
"57","Pyrus bourgaeana",38.229077,-4.665556,1
"58","Pyrus bourgaeana",38.48105,-4.769433,1
"59","Pyrus bourgaeana",38.387251,-4.595438,1
"60","Pyrus bourgaeana",38.26896,-5.004133,1
"61","Pyrus bourgaeana",40.629662,-3.717113,1
"62","Pyrus bourgaeana",40.712917,-3.751531,1
"63","Pyrus bourgaeana",40.699286,-3.753381,1
"64","Pyrus bourgaeana",40.704581,-3.72673,1
"65","Pyrus bourgaeana",40.227447,-4.888752,1
"66","Pyrus bourgaeana",40.55232,-3.88195,1
"67","Pyrus bourgaeana",39.705246,-6.350761,1
"68","Pyrus bourgaeana",40.715785,-3.74196,1
"69","Pyrus bourgaeana",40.066746,-6.080697,1
"70","Pyrus bourgaeana",40.505112,-3.862129,1
"71","Pyrus bourgaeana",40.503487,-3.871694,1
"72","Pyrus bourgaeana",38.58756,-6.07089,1
