Pb,lon,lat
1,-4.680645,38.359392
1,-4.842367,38.431762
1,-3.741932,40.717712
1,-5.597008,36.227955
1,-4.490706,38.440855
1,-4.910031,38.627672
1,-4.511603,38.35191
1,-3.681352,40.621098
1,-4.706168,38.271054
1,-4.655632,38.143545
1,-4.746229,38.522097
1,-4.627666,38.458408
1,-4.888752,40.227447
1,-3.88195,40.55232
1,-6.350761,39.705246
1,-6.07089,38.58756
1,-6.33,38.04
1,-6.520968,39.281483
1,-6.669942,39.123662
1,-4.58588,36.69913
1,-6.22,38
1,-5.87611,38.88667
1,-5.73,38.63
1,-6.51,37.26
1,-4.92,37.72
1,-6,37.97
1,-5.58,38.47
1,-4.070125,39.884628
1,-6.31,41.39
1,-7.354243,37.328711
1,-6.589655,37.496531
1,-6.263355,37.647004
1,-6.74591,37.527412
1,-7.236364,37.365415
1,-6.043108,36.461206
1,-6.983518,37.406183
1,-6.826059,37.431478
1,-7.238129,37.71557
1,-5.844898,36.497065
1,-6.98,38.87
1,-6.86,38.87
1,-4.432,36.952
1,-6.861482,37.550342
1,-6.76,38.6
1,-5.26,39.5
1,-5.48,38.95
1,-2.445,38.375
1,-7.327232,37.520419
1,-7.447624,37.468949
1,-6.84,39.68
1,-5.02,38.96
1,-7.447067,37.636753
1,-6.070937,37.732361
1,-7.122424,37.435735
1,-5.935585,37.785233
1,-5.793946,37.78684
1,-5.210864,37.844556
1,-5.100596,37.919621
1,-6.77,38.15
1,-4.899038,38.529481
1,-5.62,39.76
1,-5.63,39.85
1,-6.74,39.05
1,-5.277605,37.738112
1,-5.638258,38.080437
1,-3.00689,38.291856
1,-5.173381,38.423638
1,-6.5,39.4
1,-6.54,37.59
1,-2.857308,38.475383
1,-6.67391,37.615979
1,-6.438017,37.67031
1,-5.058,36.853
1,-5.890352,36.916977
1,-7.20022,37.50234
1,-6.98814,37.529941
1,-6.144076,37.594654
1,-4.655,36.877
1,-4.527054,38.144081
1,-6.40934,37.152251
1,-5.385691,37.765811
1,-5.479956,38.337548
1,-5.110654,38.345507
1,-5.065719,38.699445
1,-3.368845,38.44373
1,-3.967953,38.109708
1,-2.109,37.778
1,-5.696862,37.735652
